Original Stub Packed With UPX

Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
00425658  push installer_1vs100.4ADD7C                                      "contentid"
004256DB  push installer_1vs100.4ADD7C                                      "contentid"
0042577F  push installer_1vs100.4ADD6C                                      "VersionMajor"
004257CF  push installer_1vs100.4ADD5C                                      "VersionMinor"
00425815  push installer_1vs100.4ADD54                                      "name"
00425854  push installer_1vs100.4ADD54                                      "name"
00425862  push installer_1vs100.4ADD48                                      "DisplayName"
004258E6  push installer_1vs100.4ADD3C                                      "publisher"
00425925  push installer_1vs100.4ADD3C                                      "publisher"
00425933  push installer_1vs100.4ADD30                                      "Publisher"
004259B7  push installer_1vs100.4ADD28                                      "icon"
004259F6  push installer_1vs100.4ADD28                                      "icon"
00425A04  push installer_1vs100.4ADD1C                                      "DisplayIcon"
00425A88  push installer_1vs100.4ADD10                                      "installdir"
00425AC7  push installer_1vs100.4ADD10                                      "installdir"
00425B30  push installer_1vs100.4ADD00                                      "InstallLocation"
00425C12  push installer_1vs100.4AD988                                      ".dat"
00425C2A  push installer_1vs100.4ADD7C                                      "contentid"
00425CE1  push installer_1vs100.4ADCE4                                      "wscript.exe //E:JScript \""
00425D41  push installer_1vs100.4ADCD0                                      "UninstallString"
00425D91  push installer_1vs100.4ADC94                                      "var fso = new ActiveXObject('Scripting.FileSystemObject');\n"
00425DA2  push installer_1vs100.4ADC60                                      "var shell = new ActiveXObject ('WScript.Shell');\n"
00425DE2  push installer_1vs100.4ADC58                                      "folders"
00425E21  push installer_1vs100.4ADC58                                      "folders"
00425E80  push installer_1vs100.4ADC3C                                      "', true); } catch (e) {}\n"
00425E8E  push installer_1vs100.4ADC38                                      "\\'"
00425EC0  push installer_1vs100.4AC304                                      "\\\\"
00425EF2  push installer_1vs100.4ADC1C                                      "')) fso.DeleteFolder ('"
00425F0B  push installer_1vs100.4ADC38                                      "\\'"
00425F3D  push installer_1vs100.4AC304                                      "\\\\"
00425F6F  push installer_1vs100.4ADBFC                                      "try { if (fso.FolderExists ('"
004261AA  push installer_1vs100.4ADBF4                                      "files"
